Mass of chassis: 1.25
Time X Y Z
0.505997 -1.49611e-19 0.109767 -4.65374e-10
0.506997 -1.37013e-19 0.110397 -4.64418e-10
0.507997 -1.25391e-19 0.111018 -4.63602e-10
0.508997 -1.12754e-19 0.111629 -4.62905e-10
0.509997 -1.00143e-19 0.112231 -4.62309e-10
0.510997 -8.87737e-20 0.112822 -4.618e-10
0.511997 -8.01092e-20 0.113404 -4.61366e-10
0.512997 -7.30629e-20 0.113976 -4.60994e-10
0.513997 -6.62441e-20 0.114538 -4.60677e-10
0.514997 -6.11809e-20 0.11509 -4.60406e-10
0.515997 -5.75666e-20 0.115633 -4.60175e-10
0.516997 -5.47995e-20 0.116165 -4.59977e-10
0.517997 -5.14245e-20 0.116688 -4.59808e-10
0.518997 -4.84274e-20 0.117201 -4.59664e-10
0.519997 -4.51444e-20 0.117704 -4.5954e-10
0.520997 -4.2261e-20 0.118198 -4.59435e-10
0.521997 -4.05045e-20 0.118681 -4.59345e-10
0.522997 -3.89424e-20 0.119155 -4.59268e-10
0.523997 -3.75745e-20 0.119619 -4.59203e-10
0.524997 -3.68936e-20 0.120073 -4.59146e-10
0.525997 -3.56049e-20 0.120518 -4.59098e-10
0.526997 -3.46049e-20 0.120952 -4.59058e-10
0.527997 -3.38843e-20 0.121377 -4.59023e-10
0.528997 -3.30194e-20 0.121792 -4.58993e-10
0.529997 -3.22767e-20 0.122197 -4.58967e-10
0.530997 -3.16227e-20 0.122592 -4.58945e-10
0.531997 -3.13309e-20 0.122978 -4.58927e-10
0.532997 -3.07615e-20 0.123354 -4.58911e-10
0.533997 -3.04391e-20 0.12372 -4.58897e-10
0.534997 -3.00085e-20 0.124076 -4.58886e-10
0.535997 -2.96976e-20 0.124422 -4.58876e-10
0.536997 -2.92756e-20 0.124758 -4.58867e-10
0.537997 -2.91312e-20 0.125085 -4.5886e-10
0.538997 -2.90535e-20 0.125402 -4.58854e-10
0.539997 -2.88203e-20 0.125709 -4.58849e-10
0.540997 -2.85426e-20 0.126006 -4.58844e-10
0.541997 -2.83539e-20 0.126293 -4.5884e-10
0.542997 -2.82095e-20 0.126571 -4.58837e-10
0.543997 -2.82483e-20 0.126839 -4.58834e-10
0.544997 -2.82205e-20 0.127097 -4.58832e-10
0.545997 -2.81482e-20 0.127345 -4.5883e-10
0.546997 -2.80816e-20 0.127583 -4.58828e-10
0.547997 -2.8026e-20 0.127812 -4.58826e-10
0.548997 -2.79392e-20 0.128031 -4.58825e-10
0.549996 -2.7808e-20 0.12824 -4.58824e-10
0.550996 -2.78267e-20 0.128439 -4.58823e-10
